player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"Watson, Bubba",7334,-0.151,-0.1334189638003627,0.4115226337448559,0.47875,0.00195,512.8205128205128,0.0013,769.2307692307693,0.0158,63.291139240506325,0.0105627976190476,94.67188864782638,0.03825,26.1437908496732,0.0273183862433862,36.60538331549869,0.10325,9.685230024213077,0.0786017220973471,12.722367567996976,0.103034019395637,9.705532268523196,0.078437301298872,12.749036280451186,-0.319,0.165,-0.153,-0.015,-0.322,0.0,5.885,-0.0076030513165636,0.31152088896968,-0.13813243441251,2.86709512916362,71.0,unibet,0.014084507042253521,-0.0035217094232059213,False,False
"Riley, Davis",19872,-0.3898,-0.3679471508243588,0.3484320557491289,0.3985,0.0013,769.2307692307693,0.00085,1176.470588235294,0.00895,111.731843575419,0.0060842228835978,164.35952777072808,0.0233,42.91845493562232,0.0168193849206349,59.45520628243353,0.063,15.873015873015872,0.0491356721519221,20.35181277073221,0.0631837536075036,15.826853311248062,0.0492789873426369,20.29262478644291,-0.441,-0.701,0.083,0.197,-0.863,-0.075,1.046,0.1177981397929494,0.0212129467227261,-0.0244436039567884,3.00221729589162,101.0,draftkings,0.009900990099009901,-0.003816767215412101,False,False
"Bradley, Keegan",13872,0.1638,0.1500949575890603,0.6289308176100629,0.59545,0.00455,219.78021978021977,0.0044916666666666,222.6345083487949,0.0351,28.49002849002849,0.034148416005291,29.28393515661337,0.0829,12.062726176115802,0.081524764009139,12.266211526695118,0.1888,5.296610169491526,0.1894947256447255,5.277191735008243,0.1893988436563436,5.279863280551273,0.1900957728606307,5.260506243519432,0.138,0.216,0.273,0.066,0.692,0.012,4.623,0.0294581456231707,0.122986416730173,-0.190223170225499,2.81020996787313,26.0,betway,0.038461538461538464,-0.004313122456247466,False,False
"Hatton, Tyrrell",14796,0.3005,0.3042232964439247,0.6369426751592356,0.654,0.0094,106.38297872340424,0.0076666666666666,130.43478260869594,0.05885,16.99235344095157,0.0477477182539682,20.943409163157053,0.12325,8.113590263691684,0.1050381517556517,9.520350304014116,0.2529,3.954132068011072,0.2289575220034595,4.367622392353155,0.2531094461094461,3.9508600543007537,0.22914713948947,4.364008218596824,0.463,0.203,-0.003,-0.046,0.617,-0.023,5.388,0.0403545702525977,0.004621601697615,-0.0252042893061851,2.8278270804799,19.0,unibet,0.05263157894736842,-0.004883860693400216,False,False
"Johnson, Zach",6986,-0.1654,-0.1473216372181681,0.4444444444444444,0.47535,0.00135,740.7407407407406,0.0008833333333333,1132.075471698156,0.0119,84.03361344537815,0.0086563492063492,115.52214174383433,0.02915,34.30531732418525,0.0231201292457542,43.25235336578573,0.0854,11.7096018735363,0.0718455083805084,13.918754596373608,0.085612205988456,11.680577418304589,0.0720240335224523,13.884254339744336,-0.163,-0.403,0.044,0.206,-0.317,0.074,-17.748,-0.1112493933017651,0.214105130540766,0.04106235930535,2.69161301649953,71.0,unibet,0.014084507042253521,-0.005428157835904321,False,False
"Harman, Brian",8825,0.10765,0.1175943620902432,0.5988023952095809,0.5855,0.0045,222.22222222222223,0.0035416666666666,282.352941176472,0.02905,34.42340791738382,0.0257177380952381,38.88366839637271,0.0719,13.908205841446453,0.0652113471019721,15.334754524182468,0.1732,5.773672055427252,0.1632567204323455,6.1253221144694345,0.1736406854256854,5.759018962338634,0.1636721064446996,6.109776563166998,0.169,-0.004,0.153,0.004,0.322,0.037,-5.208,-0.0397564141027885,0.033137465596133,0.0646251253569053,2.74535658178568,32.0,draftkings,0.03125,-0.005532261904761901,False,False
"English, Harris",14577,0.22075,0.244021374660761,0.7246376811594204,0.6365,0.0066,151.51515151515153,0.0079,126.58227848101264,0.04445,22.49718785151856,0.053027542989418,18.858124356234203,0.1003,9.970089730807578,0.1173192454073705,8.52375069859745,0.2264,4.41696113074205,0.257757059549247,3.8796221595200975,0.2258937987012987,4.426859018481993,0.2571807478960082,3.888315934147423,0.141,0.334,0.108,0.489,1.073,0.034,1.492,0.0214820565667109,0.152373134640591,-0.0194050342433492,2.74033459129061,17.0,betway,0.058823529411764705,-0.005795986422346702,False,False
"Homa, Max",17538,0.08455,0.122713796569905,0.5494505494505494,0.57955,0.0055,181.81818181818184,0.0037166666666666,269.0582959641268,0.035,28.57142857142857,0.0263973214285714,37.8826314899374,0.0784,12.755102040816327,0.0624845475589225,16.003956803192118,0.17995,5.5570991942206165,0.152579569157694,6.553957423791649,0.1799554802958479,5.556929960432401,0.1525842158994519,6.553757832061528,0.146,0.013,-0.045,0.055,0.169,-0.003,1.644,0.0102488001015629,0.105741546719422,0.101264022708396,2.84490342851577,31.0,unibet,0.03225806451612903,-0.005860743087557633,False,False
"Fox, Ryan",11889,0.09805,0.1270341155311803,0.5847953216374269,0.578,0.0052,192.30769230769232,0.0038666666666666,258.6206896551735,0.03095,32.31017770597739,0.0257626656445406,38.81585911168744,0.07245,13.802622498274673,0.063868869047619,15.65708012231162,0.17145,5.832604257801108,0.1600117497317494,6.249541059806187,0.1722295147907648,5.806205755238076,0.1607392593591164,6.221255491577482,0.092,0.119,0.072,0.105,0.389,-0.061,8.434,0.11249205804784,0.0430774230858147,0.0001204522937006,2.79287148535516,31.0,bet365,0.03225806451612903,-0.006495398871588433,False,False
"Scott, Adam",6430,0.45155,0.5049976089923521,0.6993006993006994,0.71825,0.01905,52.49343832020997,0.014125,70.79646017699115,0.09235,10.828370330265296,0.0767771263227513,13.024712539985634,0.18365,5.445140212360468,0.1575777330771079,6.34607428646449,0.3463,2.887669650591972,0.3107038304403929,3.2184991043805145,0.3459226911976911,2.890819323062304,0.3103653052017668,3.222009622982522,0.676,0.339,0.03,-0.08,0.964,-0.021,8.59,0.047784420591227,0.19209881644295,0.0753795120383207,2.80883978609275,12.0,bet365,0.08333333333333333,-0.00655620701058203,False,False
"Lee, Min Woo",16841,0.42755,0.4811023118654947,0.8064516129032259,0.71515,0.01965,50.89058524173028,0.0253583333333333,39.43476832073609,0.0925,10.81081081081081,0.1174905886243385,8.511320027490672,0.17925,5.578800557880056,0.2187214363876864,4.572025570586906,0.3402,2.9394473838918285,0.393879716810967,2.538846143427908,0.340083455988456,2.940454710134281,0.3937447834709818,2.5397161866747577,0.36,0.637,0.308,0.395,1.7,-0.0,13.026,0.1031721232137743,0.052949849575444,0.124877048932116,2.8487411383999,8.0,betway,0.125,-0.0075094113756614955,False,False
"Conners, Corey",17576,0.40385,0.4201586180664295,0.6535947712418301,0.69385,0.0137,72.99270072992701,0.0100416666666666,99.58506224066406,0.07665,13.046314416177433,0.0589001256613756,16.97789247087736,0.15215,6.572461386789352,0.1231241081372331,8.121886242501006,0.3036,3.293807641633729,0.2606170841542715,3.8370469965355496,0.3028816005644681,3.301620164897242,0.2600003938836971,3.846148019480763,0.591,0.388,-0.039,-0.143,0.796,0.074,-1.427,-0.1072471450665829,0.254145784963417,-0.001819103323832,2.79385515522205,15.0,unibet,0.06666666666666667,-0.007766541005291068,False,False
