player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,p_make_cut_anchored,make_cut_fair_odds_dec_model,make_cut_fair_odds_dec_anchored,make_cut_strategy_prob,make_cut_strategy_fair_odds_dec,make_cut_strategy_name,make_cut_strategy_tier,p_miss_cut_model,p_miss_cut_anchored,miss_cut_fair_odds_dec_model,miss_cut_fair_odds_dec_anchored,p_miss_cut_dg,miss_cut_strategy_prob,miss_cut_strategy_fair_odds_dec,miss_cut_arg_overlay_prob,miss_cut_arg_overlay_fair_odds_dec,miss_cut_strategy_name,miss_cut_strategy_tier,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top10_strategy_prob,top10_strategy_fair_odds_dec,top10_strategy_name,top10_strategy_tier,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,top20_strategy_prob,top20_strategy_fair_odds_dec,top20_strategy_name,top20_strategy_tier,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,p_model,strategy_name,strategy_tier,strategy_min_ev,strategy_odds_cap,edge_prob,ev_per_unit,arg_overlay_ev_per_unit,arg_overlay_qualified,value_flag,strategy_qualified,bet_flag
"Glover, Lucas",7399,0.09175,0.1422452325481669,0.4366812227074236,0.54035,0.4885156113537118,1.8506523549551217,2.047017488814592,0.3788585378380038,2.6395076265315423,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.45965,0.5114843886462882,2.1755683672359405,1.955093883992498,0.5633187772925764,0.5633187772925764,1.7751937984496124,0.581647872188833,1.7192532592560543,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0080299500338182,124.5337761491024,0.0049233083502424,203.11545181823905,0.0422734198264521,23.65552643020996,0.0278307443047604,35.93148602313699,0.0859066314830328,11.640544888522456,0.0586219925739432,17.058444383968066,0.0194987067741217,51.28545249612039,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.1748034531388978,5.720710787134197,0.1268115871622874,7.885714723531119,0.1751305120067804,5.71002727361,0.1270488528077135,7.87098803256008,0.0810869746036946,12.33243692821702,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.281,-0.002,-0.096,-0.527,-0.344,0.081,-10.905,0.3489354070964032,0.183395490103506,0.0321595866667566,2.6031831103326,2.0,bet365,0.5,0.5633187772925764,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.0633187772925764,0.1266375545851528,0.16329574437766592,False,True,False,False
"Rai, Aaron",18554,0.3988500000000001,0.4115309525633376,0.6535947712418301,0.64845,0.651022385620915,1.5421389467190996,1.536045491041366,0.6435531252654126,1.553873271282122,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.35155,0.348977614379085,2.8445455838429807,2.865513313165488,0.3464052287581699,0.3464052287581699,2.8867924528301887,0.3275718789094944,3.0527651009880863,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0198695089264747,50.32837015249881,0.0159930877965707,62.52701246437368,0.0937883438731858,10.662305769596818,0.0804349093704553,12.43241283948423,0.1692574255631328,5.908160287047502,0.1511524708984494,6.615836274829024,0.1223530106773938,8.173072280474436,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3003941878550529,3.328959215690694,0.2768383185709384,3.61221670887932,0.2996392067634721,3.337346974053951,0.2761425404753684,3.6213181724139263,0.2795705129735297,3.576915138023451,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.561,0.326,0.166,-0.078,0.975,0.117,-10.213,0.4016648876080041,0.0654230638078529,-0.153783446939278,2.54453031646658,3.25,unibet,0.3076923076923077,0.3464052287581699,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.038712921065862216,0.12581699346405228,0.06460860645585675,False,True,False,False
"Harman, Brian",8825,0.20195,0.2127709709175526,0.6024096385542169,0.5621,0.5822548192771084,1.7790428749332858,1.7174610958850254,0.6182581333221459,1.617447383387589,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.4378999999999999,0.4177451807228916,2.2836263987211693,2.393803797495735,0.3975903614457831,0.3975903614457831,2.515151515151516,0.3784390657923732,2.6424333278230847,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0097587311399605,102.47233842780533,0.0088793655699802,112.62065877553698,0.0527454309791261,18.95898813293888,0.049509299484272,20.19822559431841,0.1054840066421381,9.48011013074778,0.1005424614740272,9.94604652938924,0.1070152752416447,9.344460384201794,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2113086389926761,4.732414182245807,0.2024536919981555,4.939401154556917,0.2095107170711286,4.773025523369771,0.2007311124922872,4.981788760018072,0.1947965154771292,5.1335620534619295,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.347,-0.09,0.16,0.176,0.594,0.041,-7.736,0.1773394308264761,0.128235753378856,-0.0666237991701889,2.59303478693425,2.75,unibet,0.36363636363636365,0.3975903614457831,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.033953997809419434,0.09337349397590344,0.04070743092902629,False,True,False,False
"Horschel, Billy",11276,0.08635,0.1098355052941705,0.4878048780487805,0.5193,0.5035524390243903,1.925669170036588,1.985890490248551,0.4818079962490683,2.075515574222755,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.4807,0.4964475609756097,2.080299563137092,2.014311437112952,0.5121951219512195,0.5121951219512195,1.9523809523809523,0.5352693425162256,1.8682183352761084,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.006860411171623,145.76385802301877,0.0052052055858115,192.11537056784465,0.0384862611416998,25.983298203953083,0.0296466953856647,33.730572227066375,0.0804698540838057,12.42701395927156,0.0639542729506238,15.63617181250821,0.045000838690588,22.221808061749524,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.1630080797910253,6.134665234275438,0.1366946812217792,7.315573591174027,0.1623690164468261,6.158810479260911,0.1361587779694506,7.34436673795916,0.1102870228946931,9.06724992436185,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.236,-0.111,-0.125,-0.032,-0.033,-0.003,-2.973,0.0412615392967936,0.304111013385383,0.0207690034761102,2.63788902948103,2.1,bet365,0.47619047619047616,0.5121951219512195,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.03600464576074336,0.07560975609756104,0.12406561928407378,False,True,False,False
"Kohles, Ben",16395,0.29685,0.3449831028429873,0.6097560975609756,0.6252,0.6174780487804878,1.599488163787588,1.6194907689026172,0.5953439597534946,1.6797012611231588,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3748,0.3825219512195121,2.6680896478121663,2.614229057474782,0.3902439024390244,0.3902439024390244,2.5625,0.3973892961066671,2.516424095458224,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0166396995540371,60.09723894067435,0.0119615164436851,83.60144006054739,0.0792284802381785,12.621723867399409,0.0621156557636299,16.09900093150948,0.1465436841916656,6.823903776651966,0.1207459122617779,8.281853863772989,0.084506038022039,11.833473955307213,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2678152103235113,3.733917871177053,0.2321637186771891,4.307305231402004,0.2666643694566503,3.7500323047941455,0.2311660774493687,4.325894227361389,0.211087676294836,4.737367986387103,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.481,0.184,-0.022,-0.115,0.528,0.109,-10.445,0.3976096262154256,0.0117365917015557,0.0389265531818351,2.53458814781577,2.75,betmgm,0.36363636363636365,0.3902439024390244,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.026607538802660757,0.07317073170731714,0.09282056429333463,False,True,False,False
"Bezuidenhout, Christiaan",18103,0.14645,0.1755951852843496,0.6097560975609756,0.5565,0.5831280487804877,1.7969451931716085,1.7148892118829275,0.6388704074096057,1.5652626704915753,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.4435,0.4168719512195122,2.254791431792559,2.398818143256249,0.3902439024390244,0.3902439024390244,2.5625,0.3676893851884473,2.719686888669582,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0069132019785546,144.65077153858448,0.0069066009892773,144.78902162619863,0.0391776992481259,25.5247250142652,0.041184302666391,24.281095836449897,0.0880233336852325,11.360624031531852,0.0899426398973393,11.118197121425403,0.113990008377859,8.772698714830836,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.1887920883048681,5.296832134115516,0.1900495001713176,5.261787055996271,0.1882217277919547,5.312882905343002,0.1894753408865195,5.277731631573734,0.1833876895212283,5.452928724990798,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.308,-0.289,0.185,0.308,0.512,0.031,-10.149,0.1715257168211988,0.0447185371103299,0.048783433733566,2.52097911504393,2.75,unibet,0.36363636363636365,0.3902439024390244,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.026607538802660757,0.07317073170731714,0.011145809268230056,False,True,False,False
"Noren, Alex",10419,0.1175,0.1042704235124218,0.5882352941176471,0.51685,0.5525426470588235,1.9347973299796848,1.809815052870553,0.6249213632120036,1.600201335509075,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.4831499999999999,0.4474573529411765,2.0697505950532964,2.234849854241778,0.4117647058823529,0.4117647058823529,2.428571428571429,0.3984766792936235,2.5095571509296155,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0062822010142666,159.17987942904753,0.0071994338404666,138.8998110350283,0.0347265466825483,28.796413566297502,0.038518161208037,25.961779291565563,0.075001326569925,13.33309750285126,0.0825522345146587,12.11354248469713,0.1178817756960143,8.483075471977394,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.1551410570690693,6.445746979503926,0.1688001924470111,5.924163862040113,0.1563811458732293,6.394632769929003,0.1701494627997353,5.877185760950609,0.1883125784352125,5.310319726433156,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.117,0.015,0.118,0.376,0.625,0.051,-8.558,0.1924162614055014,0.0589663785798345,-0.1770976077856,2.57861055450422,2.6,betmgm,0.3846153846153846,0.4117647058823529,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.02714932126696834,0.07058823529411762,0.03603936616342118,False,True,False,False
"Straka, Sepp",17511,0.1415,0.1232385360889554,0.5181347150259068,0.52325,0.5206923575129534,1.9111323459149547,1.920519833969568,0.5147509707380071,1.9426869629138983,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.47675,0.4793076424870466,2.097535395909806,2.086342698003246,0.4818652849740932,0.4818652849740932,2.075268817204301,0.5005822082087514,1.9976738757422687,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0087285580948958,114.56645978959205,0.0067309457141145,148.56753307384946,0.0433985057184471,23.042268010046605,0.0360559201271408,27.734696451339683,0.0852721928034914,11.727152394268618,0.0732702363127606,13.648106657270896,0.0593135947884632,16.85954128335019,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.1743909872398291,5.734241292095916,0.152939927507786,6.538514933904953,0.1737003746409269,5.757039972234935,0.1523342640931579,6.564511313019269,0.1374618361571919,7.274746416572443,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.248,0.062,-0.096,-0.008,0.205,0.026,-1.641,0.0942779473577941,-0.0046596223492328,-0.137281387646812,2.68169667943683,2.2,bet365,0.45454545454545453,0.4818652849740932,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.02731983042863867,0.060103626943005084,0.10128085805925324,False,True,False,False
"Im, Sungjae",17488,0.0508,0.0852474528991256,0.6493506493506493,0.50655,0.5779503246753246,1.974138781956372,1.7302525101301232,0.6731559990660444,1.48553975807603,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.49345,0.4220496753246754,2.026547775863816,2.3693893360555665,0.3506493506493506,0.3506493506493506,2.851851851851852,0.3046890337893104,3.282034760369782,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0073899428221777,135.31904428257982,0.0104533047444222,95.663526937124,0.0367882046289427,27.182625792324213,0.0532185103832544,18.79045453919088,0.0779432140468097,12.829853274968071,0.1054224826292803,9.485642673740797,0.1582636261096198,6.318571263540743,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.1549355365486436,6.454297201765842,0.2018914851939763,4.953155894807575,0.1548654441241403,6.457218430203182,0.2018001500232398,4.955397703544014,0.2693357322172721,3.712838217816951,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,-0.13,0.234,0.371,0.267,0.742,0.029,-1.219,0.05129174155882,0.191007432278591,0.0988395356465706,2.65136128771865,3.0,unibet,0.3333333333333333,0.3506493506493506,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.017316017316017285,0.051948051948051854,-0.08593289863206877,False,True,False,False
"Smalley, Alex",18474,0.2523,0.2232086839491216,0.6024096385542169,0.56625,0.5843298192771085,1.7660044150110374,1.7113622598229357,0.6269626292824533,1.5949913970861085,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.4337499999999999,0.4156701807228915,2.3054755043227666,2.40575351895799,0.3975903614457831,0.3975903614457831,2.515151515151516,0.4059527728863847,2.46334073022793,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0136907984716119,73.04175881877991,0.0124453992358059,80.3509779841337,0.058699836267847,17.03582264585893,0.0564897134080937,17.702337995163578,0.1137406688752072,8.79193000963595,0.1101608048005741,9.0776388372463,0.1271110624490369,7.867135878916385,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2159762347208186,4.630139058089648,0.2113499980029148,4.731488097701371,0.2170618746610219,4.606981311488559,0.2124123834060609,4.707823451556197,0.2212357869650902,4.520064378905364,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.339,0.171,-0.03,0.261,0.741,0.026,1.735,0.0466871316175508,0.0593617278969139,-0.183640578037396,2.65134024291444,2.55,unibet,0.3921568627450981,0.3975903614457831,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,0.005433498700684991,0.013855421686746805,0.035179570860281006,False,True,False,False
