group_id,player_name,dg_id,odds,book,p_model,p_push,opponents,market_odds_best_dec,market_book_best,edge_prob,ev_per_unit,value_flag,bet_flag
0,"Dahmen, Joel",14509,2.75,betmgm,0.39209999999999995,,"McGreevy, Max, Dunlap, Nick",2.75,betmgm,0.028463636363636302,0.07827499999999976,True,True
0,"McGreevy, Max",23505,2.5,bet365,0.40069999999999995,,"Dahmen, Joel, Dunlap, Nick",2.5,bet365,0.0006999999999999229,0.0017499999999998073,True,True
0,"Dunlap, Nick",28270,3.25,unibet,0.20720000000000005,,"Dahmen, Joel, McGreevy, Max",3.25,unibet,-0.10049230769230766,-0.32659999999999983,False,False
2,"Grillo, Emiliano",12808,2.6,unibet,0.36719999999999997,,"Hubbard, Mark, Bezuidenhout, Christiaan",2.6,unibet,-0.01741538461538461,-0.0452800000000001,False,False
2,"Hubbard, Mark",16333,3.5,betmgm,0.28459999999999996,,"Grillo, Emiliano, Bezuidenhout, Christiaan",3.5,betmgm,-0.0011142857142857343,-0.0039000000000001256,False,False
2,"Bezuidenhout, Christiaan",18103,2.5,bet365,0.34819999999999995,,"Grillo, Emiliano, Hubbard, Mark",2.5,bet365,-0.05180000000000007,-0.12950000000000006,False,False
3,"Power, Seamus",10104,2.8,bet365,0.24583333333333335,,"Kim, Michael, Blair, Zac",2.8,bet365,-0.1113095238095238,-0.31166666666666665,False,False
3,"Kim, Michael",17543,2.62,bet365,0.4143333333333333,,"Power, Seamus, Blair, Zac",2.62,bet365,0.03265394402035621,0.08555333333333315,True,True
3,"Blair, Zac",17639,3.0,unibet,0.3398333333333334,,"Power, Seamus, Kim, Michael",3.0,unibet,0.006500000000000061,0.019500000000000184,True,True
4,"Kizzire, Patton",13470,4.0,bet365,0.2093,,"Kanaya, Takumi, Phillips, Chandler",4.0,bet365,-0.040699999999999986,-0.16279999999999994,False,False
4,"Kanaya, Takumi",19729,2.8,bet365,0.3421,,"Kizzire, Patton, Phillips, Chandler",2.8,bet365,-0.015042857142857136,-0.042119999999999935,False,False
4,"Phillips, Chandler",27164,2.15,unibet,0.4486,,"Kizzire, Patton, Kanaya, Takumi",2.15,unibet,-0.016516279069767437,-0.03551000000000004,False,False
5,"Malnati, Peter",14926,3.4,unibet,0.14083333333333334,,"Smotherman, Austin, Walker, Danny",3.4,unibet,-0.1532843137254902,-0.5211666666666666,False,False
5,"Smotherman, Austin",22985,2.1,bet365,0.6335333333333333,,"Malnati, Peter, Walker, Danny",2.1,bet365,0.15734285714285712,0.33041999999999994,True,True
5,"Walker, Danny",25003,3.2,bet365,0.22563333333333335,,"Malnati, Peter, Smotherman, Austin",3.2,bet365,-0.08686666666666665,-0.27797333333333324,False,False
6,"Finau, Tony",11676,2.7,unibet,0.3259666666666666,,"Kirk, Chris, Castillo, Ricky",2.7,unibet,-0.04440370370370372,-0.11989000000000005,False,False
6,"Kirk, Chris",12423,2.88,betmgm,0.38216666666666665,,"Finau, Tony, Castillo, Ricky",2.88,betmgm,0.034944444444444445,0.10063999999999995,True,True
6,"Castillo, Ricky",27819,2.8,bet365,0.29186666666666666,,"Finau, Tony, Kirk, Chris",2.8,bet365,-0.06527619047619049,-0.18277333333333334,False,False
8,"Fowler, Rickie",12965,3.5,betmgm,0.2125333333333333,,"Schauffele, Xander, Gotterup, Chris",3.5,betmgm,-0.0731809523809524,-0.25613333333333355,False,False
8,"Schauffele, Xander",19895,2.5,bet365,0.40913333333333335,,"Fowler, Rickie, Gotterup, Chris",2.5,bet365,0.009133333333333327,0.022833333333333372,True,True
8,"Gotterup, Chris",27774,2.5,bet365,0.37833333333333335,,"Fowler, Rickie, Schauffele, Xander",2.5,bet365,-0.021666666666666667,-0.054166666666666585,False,False
9,"Glover, Lucas",7399,2.5,unibet,0.3974,,"Riley, Davis, Novak, Andrew",2.5,unibet,-0.0026000000000000467,-0.006500000000000061,False,False
9,"Riley, Davis",19872,4.33,bet365,0.135,,"Glover, Lucas, Novak, Andrew",4.33,bet365,-0.09594688221709005,-0.41544999999999993,False,False
9,"Novak, Andrew",23475,2.3,bet365,0.46760000000000007,,"Glover, Lucas, Riley, Davis",2.3,bet365,0.032817391304347854,0.07547999999999999,True,True
10,"Kim, Si Woo",14609,2.37,bet365,0.5044666666666667,,"Bhatia, Akshay, Potgieter, Aldrich",2.37,bet365,0.08252573839662458,0.19558600000000015,True,True
10,"Bhatia, Akshay",26096,2.88,unibet,0.27176666666666666,,"Kim, Si Woo, Potgieter, Aldrich",2.88,unibet,-0.07545555555555555,-0.21731199999999995,False,False
10,"Potgieter, Aldrich",27900,3.5,unibet,0.2237666666666667,,"Kim, Si Woo, Bhatia, Akshay",3.5,unibet,-0.061947619047619,-0.21681666666666655,False,False
11,"Kuchar, Matt",6169,3.4,unibet,0.16956666666666664,,"Yu, Kevin, Mouw, William",3.4,unibet,-0.1245509803921569,-0.4234733333333334,False,False
11,"Yu, Kevin",17881,2.5,unibet,0.39196666666666663,,"Kuchar, Matt, Mouw, William",2.5,unibet,-0.008033333333333392,-0.020083333333333453,False,False
11,"Mouw, William",29770,2.63,betmgm,0.4384666666666666,,"Kuchar, Matt, Yu, Kevin",2.63,betmgm,0.05823852978453731,0.1531673333333331,True,True
12,"Jaeger, Stephan",16394,2.75,unibet,0.2826,,"Mazzoli, Stefano, Gerard, Ryan",2.75,unibet,-0.08103636363636363,-0.22285,False,False
12,"Mazzoli, Stefano",20844,5.0,bet365,0.1533,,"Jaeger, Stephan, Gerard, Ryan",5.0,bet365,-0.04670000000000002,-0.23350000000000004,False,False
12,"Gerard, Ryan",29767,2.0,unibet,0.5641,,"Jaeger, Stephan, Mazzoli, Stefano",2.0,unibet,0.06410000000000005,0.1282000000000001,True,True
