player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,p_make_cut_anchored,make_cut_fair_odds_dec_model,make_cut_fair_odds_dec_anchored,make_cut_strategy_prob,make_cut_strategy_fair_odds_dec,make_cut_strategy_name,make_cut_strategy_tier,p_miss_cut_model,p_miss_cut_anchored,miss_cut_fair_odds_dec_model,miss_cut_fair_odds_dec_anchored,p_miss_cut_dg,miss_cut_strategy_prob,miss_cut_strategy_fair_odds_dec,miss_cut_arg_overlay_prob,miss_cut_arg_overlay_fair_odds_dec,miss_cut_strategy_name,miss_cut_strategy_tier,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,win_strategy_prob,win_strategy_fair_odds_dec,win_strategy_name,win_strategy_tier,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top5_strategy_prob,top5_strategy_fair_odds_dec,top5_strategy_name,top5_strategy_tier,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top10_strategy_prob,top10_strategy_fair_odds_dec,top10_strategy_name,top10_strategy_tier,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,top20_strategy_prob,top20_strategy_fair_odds_dec,top20_strategy_name,top20_strategy_tier,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,ev_per_unit,value_flag,bet_flag
"Scheffler, Scottie",18417,0.93915,0.9344544824285808,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6861294734892507,1.4574508728135356,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3182989906555611,3.1417001918241194,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.159683478365388,6.262388634294387,0.079841739182694,12.524777268588776,1.0036938067240477e-05,99631.97872704788,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.4972356649336749,2.011118812511945,0.2486178324668374,4.022237625023891,2.0358517921272727e-05,49119.48914292501,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.7351099806283697,1.3603406651412937,0.3675549903141848,2.7206813302825874,1.038576745059358e-05,96285.6144003924,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.9603868191115632,1.0412471101228589,0.4801934095557816,2.0824942202457177,0.960302850749736,1.0413381562069417,0.480151425374868,2.0826763124138834,1.0364259100273456e-05,96485.43039353535,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,1.19,0.773,0.354,0.56,2.878,0.047,7.517,0.0247613934406016,-0.04,-0.0258582845773971,2.71591334467626,,,,,,False,False
"Cantlay, Patrick",15466,0.6433500000000001,0.6454781348681171,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6250586652801532,1.5998498309783402,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3469097791067599,2.882593862227949,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0687155844726463,14.552739493878146,0.0343577922363231,29.10547898775629,6.4119442914431e-06,155958.93453636597,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.3185856477252079,3.138873352080623,0.1592928238626039,6.277746704161246,9.293432970153009e-06,107602.86357168783,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.566153458061948,1.766305558608071,0.283076729030974,3.532611117216142,6.040079922901413e-06,165560.72316335177,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.9138326227124096,1.094292297239106,0.4569163113562048,2.188584594478212,0.9140938064696728,1.0939796254195244,0.4570469032348364,2.187959250839049,9.066826486301734e-06,110292.17350864844,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.96,0.381,0.174,0.027,1.542,0.013,3.968,0.0116053039639579,0.0227859905566877,-0.0008584752805655,2.6795957949773,,,,,,False,False
"Schauffele, Xander",19895,0.6495500000000001,0.6515083513120988,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6431059457692332,1.5549537468571808,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.362319658614492,2.759993768552315,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0777426973543884,12.862944482637651,0.0388713486771942,25.725888965275303,7.145626087435585e-06,139945.7497165065,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.32007994957622,3.12421943743737,0.16003997478811,6.24843887487474,1.1233487720135248e-05,89019.54806142436,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.567014117339704,1.7636245190715238,0.283507058669852,3.527249038143048,7.056902743050922e-06,141705.2262743341,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.9121288198080456,1.0963363707885545,0.4560644099040227,2.192672741577109,0.9118345457149528,1.0966901886963696,0.4559172728574764,2.193380377392739,1.0691085527649758e-05,93535.871302662,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.741,0.864,0.08,0.18,1.865,0.021,13.649,0.055779395686656,-0.013353972404104,-0.0147594481818081,2.78156569554635,,,,,,False,False
"Morikawa, Collin",22085,0.5442999999999999,0.5413035820858171,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6552639181289085,1.5261026470913852,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3731456976812661,2.6799183434621314,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0511595319346772,19.546699553014747,0.0255797659673386,39.09339910602949,6.356270774508361e-06,157324.9528655184,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.253981138162601,3.937300254792113,0.1269905690813005,7.874600509584226,9.15268061174924e-06,109257.60904584677,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.4966419667587131,2.0135229540234096,0.2483209833793565,4.027045908046819,7.852115659455529e-06,127354.2117016321,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.8912777055072146,1.121984757187338,0.4456388527536073,2.243969514374676,0.891231691353894,1.1220426850854834,0.445615845676947,2.244085370170967,9.4909611114206e-06,105363.40716818308,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.701,0.515,0.015,0.285,1.516,0.086,-1.176,-0.0350491291045703,-0.0337192486374176,0.0109722871407256,2.70211505125992,,,,,,False,False
"Kim, Si Woo",14609,0.5706500000000001,0.5561628114208733,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6299314739551716,1.5874742592575457,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3314966767581994,3.016621493099977,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0521496143291635,19.17559722854501,0.0260748071645817,38.35119445709002,6.371212069294805e-06,156956.0060352354,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.2569751952452488,3.8914261707073794,0.1284875976226244,7.782852341414759,9.19036441668877e-06,108809.61348867748,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.5013416758907088,1.994647658651856,0.2506708379453544,3.989295317303713,6.297237417949503e-06,158799.79324737267,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.8889044632931071,1.124980288990022,0.4444522316465535,2.249960577980044,0.8872766995192306,1.127044134644636,0.4436383497596153,2.254088269289272,9.073015363274717e-06,110216.94111174422,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.802,0.383,0.27,0.068,1.523,0.08,-3.285,-0.0426690306787267,-0.003219420557427,-0.0502965724169138,2.67764252211926,,,,,,False,False
"Young, Cameron",26651,0.5899500000000001,0.579780484904154,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6296943799010944,1.5880719789131184,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3444791988882844,2.902932900527044,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0641010901569131,15.60035870766159,0.0320505450784565,31.20071741532318,6.742793200113524e-06,148306.49114126232,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.2832122394507378,3.530920845579983,0.1416061197253689,7.061841691159966,1.0148780064209613e-05,98534.01036116354,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.5168469026554401,1.9348089247748816,0.25842345132772,3.8696178495497633,6.284442839412113e-06,159123.09580232357,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.8888528731188059,1.1250455843059843,0.4444264365594029,2.2500911686119687,0.8888898345613822,1.124998803134524,0.4444449172806911,2.249997606269048,1.0293779131911006e-05,97146.05172554866,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.684,0.753,0.189,0.066,1.692,0.003,13.25,0.0602309979923626,-0.04,-0.0709630744754113,2.81544153579983,,,,,,False,False
"Scott, Adam",6430,0.52065,0.5384301079918542,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6193216084089969,1.6146699653657248,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3731456976812661,2.6799183434621314,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0542453781603838,18.434750275744488,0.0271226890801919,36.869500551488976,5.72279923786275e-06,174739.66121052718,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.2616074523646041,3.822521074844203,0.130803726182302,7.645042149688406,7.616562710698406e-06,131292.82039460872,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.4984574663634779,2.0061892287330982,0.2492287331817389,4.0123784574661965,5.752330072518493e-06,173842.59724202138,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.888440154864509,1.125568215849614,0.4442200774322545,2.251136431699228,0.8878821218312233,1.1262756343573377,0.4439410609156116,2.252551268714676,9.375102931352826e-06,106665.49554946597,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.73,0.479,0.015,-0.021,1.203,0.011,5.465,0.0177604109064737,-0.0022301525406846,0.0805778726412061,2.72980227449079,,,,,,False,False
"Gotterup, Chris",27774,0.5299,0.5225563152387603,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6582440629997516,1.5191933451595403,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3572044898998389,2.799516882557671,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0506102357824737,19.75884886800505,0.0253051178912368,39.51769773601009,6.781350388855207e-06,147463.2547587347,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.2554506232040116,3.9146508529022688,0.1277253116020058,7.8293017058045375,1.0250556488590342e-05,97555.6791587927,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.4847971103587754,2.0627185654220326,0.2423985551793877,4.125437130844065,8.06249420256397e-06,124031.09693796592,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.8746173356967067,1.1433571679703962,0.4373086678483533,2.2867143359407924,0.8749245595085481,1.1429556858727428,0.437462279754274,2.285911371745486,1.0220290935633592e-05,97844.57275217545,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.554,0.732,0.111,0.311,1.709,-0.027,15.602,0.0844073223600183,-0.04,-0.0689220849862078,2.80149263620805,,,,,,False,False
"Kim, Tom",24766,0.4901500000000001,0.490611178898499,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6442721184604642,1.5521391836567038,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3509784960834003,2.849177403057701,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0464536381114769,21.52683924562062,0.0232268190557384,43.05367849124124,5.88830416153627e-06,169828.18355957652,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.2342330596232939,4.269252178186346,0.1171165298116469,8.538504356372693,8.006211165923881e-06,124903.02582277748,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.4625925014064274,2.16172980962658,0.2312962507032137,4.3234596192531605,7.129032034184619e-06,140271.49761775124,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.8738438575196406,1.144369204400483,0.4369219287598203,2.288738408800966,0.8741897465664181,1.1439164139452913,0.437094873283209,2.2878328278905826,8.579295591403205e-06,116559.68597259192,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.73,0.219,0.149,0.19,1.288,0.054,-2.624,-0.0301296649509353,-0.04,0.0273707269679624,2.69894904953615,,,,,,False,False
"Burns, Sam",19483,0.4937500000000001,0.4859002983845216,0.65,0.99,0.8200000000000001,1.0101010101010102,1.2195121951219512,0.6891873212978616,1.450984324721504,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.01,0.1799999999999999,99.99999999999991,5.555555555555557,0.35,0.35,2.857142857142857,0.3666340331910593,2.727515477208529,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0462357784413439,21.62827216737852,0.0231178892206719,43.25654433475704,6.520383010557692e-06,153365.22384970594,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.2406218891985674,4.155897883316734,0.1203109445992837,8.311795766633468,9.570223083633234e-06,104490.7721858831,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.4665817709817851,2.14324704091159,0.2332908854908925,4.28649408182318,1.068574002166905e-05,93582.66231184294,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.8674505365673681,1.1528034831324792,0.4337252682836841,2.3056069662649583,0.8674264468889049,1.1528354981411748,0.4337132234444524,2.3056709962823496,8.843798414303147e-06,113073.58593595846,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.641,0.308,0.054,0.588,1.592,-0.008,8.246,0.0463618639912035,-0.04,-0.0524294400729941,2.77399278049938,,,,,,False,False
