player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,p_make_cut_anchored,make_cut_fair_odds_dec_model,make_cut_fair_odds_dec_anchored,p_miss_cut_model,p_miss_cut_anchored,miss_cut_fair_odds_dec_model,miss_cut_fair_odds_dec_anchored,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,ev_per_unit,value_flag,bet_flag
"Gerard, Ryan",29767,0.5143999999999999,0.4839966732057801,0.7092198581560284,0.7164,0.7128099290780142,1.3958682300390843,1.4028985276530204,0.2835999999999999,0.2871900709219858,3.526093088857546,3.4820145306195025,0.0168009610815575,59.52040452600653,0.0134504805407787,74.34678612174693,0.0910946881131718,10.977588492949732,0.0758877904851573,13.177350316920698,0.1768400327387598,5.6548281772672375,0.1544515928484564,6.474520473098467,0.337132061053255,2.966196679354193,0.308381078499488,3.2427411074173933,0.3354273497304805,2.9812715057478494,0.3068217467806206,3.259221389919946,0.72,0.49,0.005,-0.046,1.17,0.044,1.297,-0.0495699218216232,-0.0502557187049099,-0.0647549231207927,2.79255301603932,4.5,unibet,0.2222222222222222,0.08459952455839836,0.38069786051279253,True,True
"Neergaard-Petersen, Rasmus",23841,0.1933,0.1601554790103073,0.5586592178770949,0.5983,0.5784796089385476,1.6714023065351828,1.7286694025998606,0.4016999999999999,0.4215203910614524,2.489419965148121,2.372364472052818,0.0052795385279517,189.4104938728358,0.0035814359306425,279.2176153268781,0.0341566155953615,29.27690529549417,0.0257491708929188,38.83620191728207,0.0778281880083786,12.84881513484992,0.0621421098772051,16.09214753049153,0.188443303719594,5.306635896640892,0.157810628091898,6.3367088268457366,0.187354810977627,5.337466354783999,0.1568990768725514,6.373523795887571,0.243,0.319,-0.075,-0.126,0.361,0.026,2.812,-0.0438706276999912,-0.0502557187049099,-0.0841601882197898,2.82507008955414,8.0,unibet,0.125,0.03189907687255139,0.2551926149804111,True,True
"Stevens, Sam",25569,0.3497499999999999,0.3532786221942768,0.7042253521126761,0.6715,0.687862676056338,1.4892032762472078,1.4537785444810165,0.3285,0.312137323943662,3.0441400304414,3.203718117928412,0.0104758845689371,95.4573328313652,0.0098796089511352,101.21858111449768,0.0573665278024314,17.431767936939966,0.0571116603658621,17.50955923175608,0.1243067907227652,8.044612801807796,0.1250934133989006,7.99402600687838,0.2661783600829463,3.756879408560413,0.2699512090194397,3.7043731110979694,0.2653802569210757,3.7681778275518094,0.2691417934328305,3.715513622931881,0.346,0.579,0.11,0.037,1.072,0.029,5.758,-0.0047462781527009,-0.0502557187049099,0.0600811781527675,2.7638035166598,4.5,betway,0.2222222222222222,0.0469195712106083,0.21113807044773736,True,True
"Kitayama, Kurt",21891,0.4702,0.4666828682671983,0.6993006993006994,0.7114,0.7053503496503497,1.405678942929435,1.4177351730182193,0.2885999999999999,0.2946496503496503,3.4650034650034653,3.39386114598587,0.0183381258741325,54.531199472819935,0.0140773962703995,71.03586350713827,0.0919134478426857,10.87980076333931,0.0752764527573217,13.284366669399624,0.1783387103350549,5.607307567276022,0.1538606349294324,6.499388231815408,0.3302482240582126,3.0280253674391626,0.2997491048140993,3.336123390994571,0.3305158300174753,3.025573691726436,0.2999919967992437,3.3334222601585117,0.697,0.387,0.019,-0.118,0.985,-0.017,9.8,0.0408573263787921,-0.0415737135839723,-0.0272626998548218,2.84982645042504,4.0,betway,0.25,0.04999199679924371,0.19996798719697484,True,True
"Taylor, Nick",13126,0.24795,0.2659276797118799,0.6578947368421053,0.6451,0.6514973684210527,1.550147263990079,1.5349256166967593,0.3549,0.3485026315789473,2.817695125387433,2.869418791672645,0.0061219940171942,163.34547162107708,0.0053943303419304,185.3798222602256,0.0424454918285041,23.559628052853725,0.0379571245217556,26.3455151727006,0.0974708581854528,10.25947671556714,0.0899268660816634,11.120147332743596,0.2279045375428239,4.387802063011128,0.2160866111651295,4.627773995843815,0.2282025065628549,4.382072813580446,0.2163691290845394,4.621731409794977,0.439,-0.104,0.278,0.047,0.66,0.023,-5.692,-0.005289704411598,0.0030711568938904,0.0928747353005799,2.69919525205542,5.5,unibet,0.18181818181818182,0.03455094726635757,0.19003020996496667,True,True
"Li, Haotong",15310,0.2056,0.2008886539417455,0.5882352941176471,0.6106,0.5994176470588235,1.6377333770062232,1.6682858853200655,0.3893999999999999,0.4005823529411765,2.568053415511043,2.49636558539773,0.0056250549560641,177.77604091173086,0.0041208608113653,242.6677448658267,0.0399244826664583,25.04728760931768,0.0313929986083614,31.85423643263099,0.092924091798862,10.761471870659124,0.0756381180217531,13.22084718861468,0.211491299958605,4.728326887185093,0.1809740677420955,5.525653550679375,0.2101484997613298,4.758539799883041,0.1798250275030249,5.5609611959224,0.252,0.36,-0.185,-0.045,0.382,0.005,5.303,-0.0138521335862934,0.0209727453194344,-0.0254341556945549,2.83543923050847,6.5,unibet,0.15384615384615385,0.025978873656871043,0.16886267876966177,True,True
"Keefer, Johnny",32457,0.22685,0.2212535417910511,0.5747126436781609,0.61505,0.5948813218390805,1.6258840744654903,1.681007561152688,0.38495,0.4051186781609195,2.5977399662293803,2.468412477399485,0.0068742629496581,145.47014091884924,0.0048787981414957,204.9685129406523,0.0421361865647102,23.73257006692478,0.0319630767479635,31.286099516802995,0.0955576534957899,10.46488652051358,0.0757201846723779,13.206518239842485,0.2137389585793483,4.678604250000405,0.1790209589674037,5.58593812572572,0.2146395442592964,4.658973738743803,0.1797752609118325,5.562500618427312,0.246,0.549,-0.231,-0.226,0.338,-0.009,11.334,-0.0037528461926285,-0.0502557187049099,0.0134623441765664,2.87806115731978,6.5,williamhill,0.15384615384615385,0.025929107065678636,0.16853919592691124,True,True
"Reitan, Kristoffer",21407,0.14535,0.139973397941786,0.625,0.5891,0.60705,1.6975046681378374,1.6473107651758505,0.4109,0.39295,2.433682161109759,2.544853034737244,0.0060721296193344,164.68686650164298,0.0058360648096672,171.34833704100402,0.0386427375923821,25.878083756600518,0.0373565870501593,26.76904072251791,0.0836123449309046,11.959956401490444,0.0835609623283671,11.96731071705862,0.1895632864463649,5.275283092767755,0.1920251062647704,5.207652371357979,0.1891674670296506,5.286321245942662,0.1916241464218541,5.218549012077702,-0.013,0.586,-0.142,0.202,0.632,0.008,9.474,0.0192033902289364,-0.0502557187049099,-0.0083946114913237,2.90859351556379,6.0,betmgm,0.16666666666666666,0.024957479755187445,0.14974487853112461,True,True
"Berger, Daniel",17606,0.4035,0.405937411919646,0.6329113924050632,0.69585,0.6643806962025316,1.4370913271538406,1.5051611308332735,0.30415,0.3356193037974684,3.287851389117212,2.97956639765708,0.0146272823949256,68.36539919041351,0.0096469745307961,103.65944232647146,0.0755930895467006,13.228722440061272,0.054883998477054,18.22024684331411,0.15301591090128,6.535268091467698,0.1171565978267824,8.535584154453797,0.3044588277073796,3.2845163581892143,0.2482313079549588,4.028500708627167,0.3040638469910266,3.288782964156576,0.2479092723596187,4.033733754618883,0.622,0.372,-0.222,-0.094,0.677,0.05,1.93,-0.0829969338380792,0.0953008910912594,0.0237083251178648,2.79139668679514,4.6,unibet,0.2173913043478261,0.0305179680117926,0.140382652854246,True,True
"Ortiz, Carlos",14735,0.2438,0.2286619284299503,0.5988023952095809,0.61715,0.6079761976047904,1.6203516163007374,1.6448012338963989,0.38285,0.3920238023952096,2.6119890296460757,2.550865518598979,0.0071267352159769,140.3167045912094,0.0055967009413217,178.67669015808335,0.039719195922543,25.176743304424253,0.0341436720353455,29.288003907863192,0.091531554326061,10.925194129641016,0.0798642740365273,12.521243222503116,0.2104187985715057,4.75242709676519,0.1885777278322063,5.302853160314802,0.2117764790888575,4.7219597015796,0.1897944836963324,5.268857031693191,0.378,0.112,0.212,-0.133,0.57,-0.026,5.167,0.0535085162094372,-0.0801133049113684,-0.0691138953761594,2.83972039561989,6.0,unibet,0.16666666666666666,0.023127817029665737,0.13876690217799426,True,True
