player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,p_make_cut_anchored,make_cut_fair_odds_dec_model,make_cut_fair_odds_dec_anchored,make_cut_strategy_prob,make_cut_strategy_fair_odds_dec,make_cut_strategy_name,make_cut_strategy_tier,p_miss_cut_model,p_miss_cut_anchored,miss_cut_fair_odds_dec_model,miss_cut_fair_odds_dec_anchored,p_miss_cut_dg,miss_cut_strategy_prob,miss_cut_strategy_fair_odds_dec,miss_cut_arg_overlay_prob,miss_cut_arg_overlay_fair_odds_dec,miss_cut_strategy_name,miss_cut_strategy_tier,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,win_strategy_prob,win_strategy_fair_odds_dec,win_strategy_name,win_strategy_tier,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top5_strategy_prob,top5_strategy_fair_odds_dec,top5_strategy_name,top5_strategy_tier,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top10_strategy_prob,top10_strategy_fair_odds_dec,top10_strategy_name,top10_strategy_tier,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,top20_strategy_prob,top20_strategy_fair_odds_dec,top20_strategy_name,top20_strategy_tier,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation
"Koivun, Jackson",32319,0.37665,0.3956333505109298,0.8264462809917356,0.74685,0.7866481404958678,1.338956952533976,1.2712163780996732,0.8410687430082395,1.1889634566888232,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.25315,0.2133518595041321,3.9502271380604386,4.6870929661648075,0.1735537190082644,0.1735537190082644,5.761904761904763,0.1677605904475159,5.960875538959497,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0345794395658227,28.91891865674911,0.0478480531162447,20.899491930644373,0.077300333318561,12.93655482543546,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.1361077848192673,7.347118324847211,0.1693495940690851,5.904944771181771,0.2796889774597872,3.5754001072272388,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.233871007527431,4.275861341567567,0.277103852382689,3.6087553146643696,0.3549410447289804,2.8173692923103952,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3827993142288784,2.6123348784321303,0.4341461759659581,2.303371664566754,0.3822425175692436,2.6161401571944416,0.4335146932762412,2.3067268895607813,0.5350678394693018,1.8689218940757744,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.408,0.499,0.046,0.229,1.182,0.055,1.786,0,-0.04,0.104916752554649,2.73194471848048
"Thompson, Davis",27364,0.3873499999999999,0.3910139162904941,0.7575757575757576,0.74605,0.7518128787878788,1.340392735071376,1.3301182092175177,0.7543660995970302,1.3256163029253083,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.25395,0.2481871212121211,3.937783028155149,4.029217934903712,0.2424242424242424,0.2424242424242424,4.125,0.2401267204301459,4.1644678201937335,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0331239655409297,30.18962203557256,0.0300703161037982,33.25538702513633,0.0311379122853022,32.11519098767645,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.1344289272199133,7.438875104344858,0.1243445892713321,8.042167382272673,0.1462113428226601,6.839414649333332,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.2288715229908804,4.369263536730367,0.2172653316012602,4.6026671288508485,0.1929721794992268,5.182094137067082,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3783339138248979,2.643167750652203,0.365760064187119,2.734032766049632,0.3782807304713409,2.6435393596549095,0.3657086483713544,2.7344171499727894,0.3830880448209724,2.6103659811867206,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.585,0.284,0.006,-0.06,0.814,0.016,3.218,0,-0.04,0.028319581452471,2.71029521767033
"Conners, Corey",17576,0.3547,0.3687765378169165,0.7633587786259541,0.72945,0.746404389312977,1.3708958804578792,1.339756322870024,0.7631361678341729,1.3103821338176922,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.2705499999999999,0.2535956106870229,3.696174459434486,3.943285916072727,0.2366412213740458,0.2366412213740458,4.225806451612902,0.2355295082251868,4.2457525069169355,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0316140094124278,31.631546222254464,0.0304320047062139,32.860142131740965,0.0336531721104262,29.714880865277628,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.1281327537055826,7.804405751692126,0.1247108450466343,8.018548824892177,0.1542449300598468,6.4831952636109405,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.220331238021062,4.538621073351421,0.2176535864828735,4.594456797883672,0.2069871096894023,4.831218724202514,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3666786204312127,2.7271838178730015,0.3661145596999183,2.7313855008105623,0.3648776681003663,2.7406445705658578,0.3643163777691775,2.744866992044966,0.4001331842837439,2.4991678752914335,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.494,0.342,-0.003,-0.022,0.811,0.052,0.591,0,-0.04,0.0803826890845828,2.71343250875023
"Ghim, Doug",24550,0.352,0.3540836664521582,0.7751937984496123,0.73425,0.7547218992248061,1.3619339462036093,1.3249913657297148,0.7703458436863859,1.2981182519459509,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.26575,0.2452781007751938,3.762935089369708,4.07700482366559,0.2248062015503876,0.2248062015503876,4.448275862068964,0.2069544090883358,4.831982098884218,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.027481236353236,36.388464738132015,0.029665618176618,33.70905652619048,0.0380220393675135,26.300535600791868,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.1216296554299286,8.221679132981714,0.1262687033763398,7.919618822880696,0.1746350637947923,5.726226900086145,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.2129152735336421,4.696703920782803,0.22130590576634,4.5186322368451535,0.2123045975773929,4.710213586568529,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3611697176752617,2.7687814095730174,0.3735425426006273,2.6770712461234947,0.3607388366478706,2.772088553847985,0.3730969006028262,2.6802688480774393,0.4303719689061155,2.323571403922329,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.419,0.465,0.137,-0.084,0.937,0.041,2.204,0,-0.04,0.0204183322607913,2.69855949214037
"James, Ben",29827,0.30055,0.3145184077820828,0.7633587786259541,0.71635,0.7398543893129771,1.3959656592447824,1.3516173107097358,0.7686284510370722,1.3010187154154256,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.2836499999999999,0.2601456106870229,3.5254715318173813,3.844001047563644,0.2366412213740458,0.2366412213740458,4.225806451612902,0.2315918057922515,4.317942064396897,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0281365132429328,35.541006498066174,0.0291515899547997,34.30344628030664,0.0348847510428043,28.66582016804359,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.1142372064134744,8.753715460973043,0.1193935668310757,8.375660653599976,0.1592931114680024,6.277735369623138,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.2007716748841676,4.980782277066403,0.2088030124198838,4.789202935392002,0.2189737642373382,4.566757134047044,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3414629193623815,2.9285756762910418,0.3533489069017262,2.8300639409594126,0.3397289405596483,2.943523146284394,0.3515545700065792,2.844508606391563,0.4040776259953071,2.474772013265624,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.35,0.401,0.028,0.05,0.829,0.041,1.169,0,-0.04,0.0798420389104141,2.72719299088722
"Hisatsune, Ryo",22760,0.29695,0.3049922716188657,0.7352941176470588,0.70965,0.7224720588235294,1.4091453533431972,1.3841365735699125,0.7308908832137022,1.368193287078687,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.29035,0.2775279411764706,3.4441191665231616,3.603240797164037,0.2647058823529412,0.2647058823529412,3.777777777777777,0.2653020012219114,3.76928932082782,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0270649782389475,36.948117643817746,0.0251241557861404,39.802332405200424,0.0254849185130626,39.238893366970544,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.1087016783822329,9.199489970004432,0.105619519746672,9.4679468567789,0.1228694888686478,8.138717017607505,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.1887793588573415,5.297189301059598,0.1872567182694597,5.340262337402571,0.172704296216985,5.790243913467003,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3277505059993247,3.051101315468481,0.3275931991738583,3.052566422385606,0.3275084930743675,3.053355931667181,0.3273513024051976,3.0548221212274065,0.3602754683020899,2.775653875943346,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.4,0.343,-0.016,-0.072,0.654,0.028,2.415,0,-0.04,0.0502113580943283,2.75129850770498
"Bridgeman, Jacob",29433,0.2585,0.2706345362180913,0.8,0.69985,0.749925,1.4288776166321355,1.3334666800013335,0.8317083257588619,1.202344582865137,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.30015,0.250075,3.331667499583541,3.9988003598920314,0.1999999999999999,0.1999999999999999,5.000000000000001,0.1875122442550946,5.3329850750417345,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0222925835614582,44.85796799833044,0.0323796251140624,30.88361883367514,0.0517959701826989,19.306521269371306,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.0956046895426332,10.459737956202112,0.1275465090329811,7.840277304190418,0.2155882048765828,4.63847268718837,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.1792929970316783,5.577462681508499,0.2241443292267946,4.4614111070736735,0.3469859292007821,2.8819612435101187,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.314942920617039,3.1751785308931253,0.3734005112412469,2.678089530932428,0.3150502764957993,3.1740965636427023,0.3735277937975125,2.6771769506986,0.4541753934965375,2.2017925548571657,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.297,0.149,0.101,0.478,1.025,0.023,0.406,0,-0.04,0.0706726810904565,2.7265668190901
"Novak, Andrew",23475,0.23665,0.2340438059676105,0.6944444444444444,0.68525,0.6898472222222223,1.459321415541773,1.4495963276893031,0.6719939359976498,1.4881086665096,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.31475,0.3101527777777777,3.177124702144559,3.2242174555550585,0.3055555555555556,0.3055555555555556,3.2727272727272725,0.2739365321459609,3.6504806137619226,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0221758407280099,45.09411896780605,0.0195379203640049,51.1825200107948,0.0177470468059997,56.347403088041155,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.0964513029312148,10.367926296580563,0.0883174717518027,11.32278789422647,0.0902776852308652,11.076934432276598,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.166943309823611,5.990057349746929,0.157681837437613,6.34188449507161,0.1196769963070451,8.355824685258511,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2985505424889972,3.3495166066792663,0.2870296856100895,3.4839601969199534,0.2995350813549923,3.338507114012651,0.2879762318090063,3.472508802959917,0.2970043038925077,3.366954575721979,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.344,0.213,0.205,-0.263,0.499,-0.006,1.715,0,-0.04,-0.0030309701619476,2.78544819727786
"Suber, Jackson",29279,0.2149,0.2133878595554489,0.7092198581560284,0.67505,0.6921349290780142,1.4813717502407229,1.4448049910327307,0.7091412695684794,1.410156259285983,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3249499999999999,0.3078650709219858,3.07739652254193,3.248176212407688,0.2907801418439716,0.2907801418439716,3.439024390243903,0.2788300145731038,3.58641447381849,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0209534597049562,47.72481557131419,0.0194933965191447,51.299423321014594,0.0190018233313842,52.626528652561326,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.0878985140769341,11.376756598237138,0.0857499154078754,11.6618190845254,0.0945265388893797,10.579039619447576,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.1636731494232282,6.109737629684064,0.1599167458367851,6.253253808832654,0.1505515153289534,6.64224466831178,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.288279433000871,3.4688565520974173,0.286956387364294,3.484850116719967,0.2881354186525052,3.4705903379619287,0.286813033963375,3.4865918964048763,0.3032333290150119,3.297790527341715,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.316,0.144,0.071,-0.02,0.511,-0.009,3.02,0,-0.04,0.0024392977772445,2.8034512326938
"Kirk, Chris",12423,0.2284,0.2195819311297797,0.6493506493506493,0.67455,0.6619503246753247,1.4824697946779335,1.5106873774712368,0.6179698498908792,1.6182019238909138,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.32545,0.3380496753246753,3.072668612690121,2.9581451277524917,0.3506493506493506,0.3506493506493506,2.8518518518518516,0.3415462820249428,2.9278608862940887,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0174976237923112,57.15061724206316,0.0142988118961556,69.93588049569757,0.0106884308514203,93.55910272527184,Winner: DG anchor + total SG overlay,Tier 4 - speculative,0.0843153776741424,11.86023270707209,0.0692344051069124,14.443685887901974,0.0533810593821164,18.73323631218561,Top 5: DG anchor + total SG overlay,Tier 3 - semi-core,0.1551338817301074,6.446045111794082,0.1320640074327452,7.5720858350391875,0.0823548903131419,12.142569751445874,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2861952176393731,3.4941184840484403,0.250876208796099,3.9860296231308054,0.2847565287650034,3.511771984077156,0.2496150667916446,4.0061684290664505,0.226011065371151,4.424562126450842,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.437,0.069,0.045,-0.337,0.215,0.011,-0.784,0,-0.04,-0.0340903443511015,2.72032338675369
