player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,make_cut_fair_odds_dec_model,p_miss_cut_model,miss_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,ev_per_unit,value_flag,bet_flag
"Fowler, Rickie",12965,0.2833,0.2884008661626065,0.7407407407407407,0.66895,0.26735,3.740415186085656,0.3075170972042664,3.251851715209694,0.2669266301753802,3.746347823531001,0.3070301196111826,3.257009446716113,0.242,0.444,0.021,0.371,-0.0546324327451661,0.125098281735521,0.0215459767517356,2.82857377531124,1.4948800358771208,0.33104999999999996,3.020691738408096,3.5,betmgm,0.2857142857142857,0.04533571428571426,0.1586749999999998,True,True
"Harman, Brian",8825,0.0971,0.0724116297646939,0.5813953488372093,0.59195,0.1806,5.537098560354374,0.1657839307016515,6.031947703059487,0.1802357675657675,5.548288297632725,0.1654495791809644,6.044137464418849,0.138,0.01,0.154,0.033,0.0028970218716218,0.258896223715279,-0.189614418041161,2.78957154992239,1.689331869245713,0.40805,2.4506800637176815,2.75,bet365,0.36363636363636365,0.04441363636363638,0.12213750000000001,True,True
"McNealy, Maverick",18634,0.39485,0.3673123563918943,0.7518796992481203,0.692,0.30575,3.270645952575633,0.336289497697292,2.97362839710249,0.3059854838217338,3.268128891312363,0.3365485025578863,2.971339918019692,0.441,0.424,0.17,0.293,-0.0099178597330069,0.0527937716407077,-0.145927731084202,2.86816205832695,1.4450867052023122,0.30800000000000005,3.2467532467532463,3.75,unibet,0.26666666666666666,0.04133333333333339,0.15500000000000025,True,True
"Noren, Alex",10419,0.23865,0.2212688725392269,0.7042253521126761,0.6528,0.23735,4.213187276174426,0.260483893687331,3.8390089530845968,0.2372834937284937,4.214368156363323,0.2604109052206927,3.840084957857356,0.333,-0.066,0.282,0.438,0.0946477228346268,0.0357392705509012,-0.143164316358904,2.75408879248364,1.531862745098039,0.34719999999999995,2.8801843317972353,3.25,bet365,0.3076923076923077,0.039507692307692244,0.12839999999999985,True,False
"Kim, S.H.",21688,-0.1216999999999999,-0.111662391718273,0.5813953488372093,0.5166,0.1231,8.123476848090982,0.140371491206234,7.123953670413023,0.1236617325729825,8.086576010164025,0.1410120374201144,7.09159315967274,-0.346,0.118,0.067,0.324,0.0162782835313276,0.0664152633425316,0.025445083807338,2.89022099589231,1.9357336430507164,0.48340000000000005,2.0686801820438556,2.25,bet365,0.4444444444444444,0.03895555555555563,0.08765000000000012,True,False
"Aberg, Ludvig",23950,0.5193,0.507280200235982,0.8,0.74145,0.3816,2.620545073375262,0.4224397037684539,2.367201735725381,0.3802856471306472,2.6296022675198407,0.4209846858523727,2.375383318220444,0.591,0.617,0.113,0.287,-0.0812681509645932,-0.0337288335771563,-0.0110327149435048,2.90732570841902,1.3487086115044844,0.25854999999999995,3.8677238445175024,4.5,betmgm,0.2222222222222222,0.03632777777777774,0.1634749999999997,True,False
"Fleetwood, Tommy",12294,0.5418000000000001,0.4962671654950011,0.819672131147541,0.75115,0.3688,2.7114967462039044,0.4205361551438755,2.37791682776449,0.3705276001776,2.698854281086438,0.4225061072488478,2.366829692738665,0.661,0.485,0.328,0.242,-0.0570346963280789,-0.0129299996985325,-0.195914324436322,2.76707152010825,1.331292018904347,0.24885000000000002,4.018485031143259,4.6,unibet,0.2173913043478261,0.03145869565217391,0.14471,True,False
"Matsuyama, Hideki",13562,0.4106000000000001,0.3986806223767794,0.7575757575757576,0.7188,0.3195,3.129890453834116,0.346090081978207,2.889421142276389,0.3202479545454545,3.122580443704488,0.3469002843254756,2.882672759823282,0.618,-0.01,0.451,0.281,0.0956337992963016,0.0399883321106433,-0.117410870791915,2.80903480159035,1.391207568169171,0.2812,3.5561877667140824,4.0,betmgm,0.25,0.031200000000000006,0.12480000000000002,True,False
"Thorbjornsen, Michael",26649,0.34205,0.3362275595553819,0.7462686567164178,0.6842,0.28945,3.454828122300916,0.32106668721393,3.114617740873533,0.2890262928737929,3.459892835551342,0.3205966984650606,3.119183712083617,0.329,0.586,0.084,0.062,-0.1195817835245721,-0.0328747912504314,0.0388973873518035,2.87532233947409,1.4615609470914936,0.31579999999999997,3.1665611146295127,3.5,betmgm,0.2857142857142857,0.03008571428571427,0.10529999999999984,True,False
"Straka, Sepp",17511,0.42385,0.4156712903070265,0.7352941176470588,0.72005,0.3361,2.9753049687592976,0.3360144042191469,2.9760628932675304,0.3359257413419914,2.976848383232244,0.3358401899402097,2.977606700907452,0.595,0.32,0.051,0.115,-0.0547078675172557,0.0321469335749114,-0.0215763480999673,2.84259809586715,1.3887924449690994,0.27995000000000003,3.572066440435792,3.75,unibet,0.26666666666666666,0.01328333333333337,0.04981250000000015,True,False
"Horschel, Billy",11276,-0.06955,-0.0604427151379179,0.5154639175257733,0.5431,0.1371,7.293946024799417,0.1223396523152774,8.173964704615416,0.1367789463314463,7.311066701572433,0.1220531636633051,8.193151000645846,0.004,-0.361,0.071,0.114,0.0999238794263165,0.224251110673458,-0.0604882930711127,2.8255366103446,1.8412815319462343,0.4569,2.188662727073758,2.25,bet365,0.4444444444444444,0.012455555555555553,0.028024999999999967,True,False
"Castillo, Ricky",27819,0.11335,0.1216216758784703,0.6711409395973155,0.60805,0.20495,4.8792388387411565,0.2249399063205315,4.445631797210028,0.2054237293262293,4.867986786530975,0.225459841086393,4.435379689710746,0.024,0.273,0.138,0.181,-0.006947322284977,-0.0349786345861505,0.0535766991813778,2.85694264120949,1.6446015952635475,0.39195,2.5513458349279245,2.62,williamhill,0.38167938931297707,0.010270610687022952,0.026909000000000072,True,False
"Poston, J.T.",21554,0.1254,0.1192788697325548,0.6451612903225806,0.60915,0.1901,5.260389268805892,0.198870862257976,5.028388717411987,0.1901994413919414,5.257638995581032,0.1989748916917452,5.0257597403255,0.104,0.192,0.043,0.159,-0.0161379361569174,0.130802496689253,-0.0552373074310805,2.76272707666183,1.641631781991299,0.39085000000000003,2.558526288857618,2.62,williamhill,0.38167938931297707,0.009170610687022962,0.02402700000000013,True,False
