group_id,player_name,dg_id,odds,book,p_model,p_push,opponents,market_odds_best_dec,market_book_best,edge_prob,ev_per_unit,value_flag,bet_flag
65,"Pendrith, Taylor",17780,1.917,pinnacle,0.4605,0.0374,"Poston, J.T.",1.917,pinnacle,-0.06114840897235263,-0.07982149999999993,False,False
65,"Poston, J.T.",21554,1.917,pinnacle,0.5395,0.0374,"Pendrith, Taylor",1.917,pinnacle,0.01785159102764733,0.07162149999999995,True,False
66,"Fowler, Rickie",12965,1.819,pinnacle,0.5863,0.0302,"Lee, Min Woo",1.819,pinnacle,0.036547388675096215,0.09667970000000004,True,False
66,"Lee, Min Woo",16841,2.03,pinnacle,0.4137,0.0302,"Fowler, Rickie",2.03,pinnacle,-0.0789108374384237,-0.12998900000000013,False,False
67,"Stevens, Sam",25569,1.84,pinnacle,0.5106,0.036,"McCarty, Matt",1.84,pinnacle,-0.032878260869565135,-0.024495999999999907,False,False
67,"McCarty, Matt",28635,2.0,pinnacle,0.4894,0.036,"Stevens, Sam",2.0,pinnacle,-0.010599999999999998,0.014800000000000035,False,False
68,"Rai, Aaron",18554,1.84,pinnacle,0.5369,0.043,"McGreevy, Max",1.84,pinnacle,-0.0065782608695651446,0.03089600000000009,False,False
68,"McGreevy, Max",23505,2.0,pinnacle,0.4631,0.043,"Rai, Aaron",2.0,pinnacle,-0.03689999999999999,-0.03079999999999994,False,False
69,"Smalley, Alex",18474,2.01,pinnacle,0.375,0.036,"Hoey, Rico",2.01,pinnacle,-0.12251243781094534,-0.21025000000000005,False,False
69,"Hoey, Rico",23504,1.833,pinnacle,0.625,0.036,"Smalley, Alex",1.833,pinnacle,0.07944626295690127,0.18162499999999998,True,True
70,"Noren, Alex",10419,2.05,pinnacle,0.4096,0.0396,"Conners, Corey",2.05,pinnacle,-0.07820487804878051,-0.1207200000000001,False,False
70,"Conners, Corey",17576,1.8,pinnacle,0.5904,0.0396,"Noren, Alex",1.8,pinnacle,0.034844444444444456,0.10232000000000013,True,False
71,"McIlroy, Rory",10091,1.775,pinnacle,0.5042,0.0436,"Fleetwood, Tommy",1.775,pinnacle,-0.05918028169014089,-0.06144500000000008,False,False
71,"Fleetwood, Tommy",12294,2.08,pinnacle,0.4958,0.0436,"McIlroy, Rory",2.08,pinnacle,0.015030769230769292,0.07486400000000004,True,False
72,"Kim, Si Woo",14609,1.704,pinnacle,0.626,0.0388,"Griffin, Ben",1.704,pinnacle,0.039145539906103255,0.10550399999999999,True,False
72,"Griffin, Ben",24968,2.19,pinnacle,0.374,0.0388,"Kim, Si Woo",2.19,pinnacle,-0.08262100456621008,-0.14214,False,False
73,"Kim, Si Woo",14609,1.729,pinnacle,0.5886,0.0416,"Schauffele, Xander",1.729,pinnacle,0.01023100057836901,0.05928940000000005,True,False
73,"Schauffele, Xander",19895,2.15,pinnacle,0.4114,0.0416,"Kim, Si Woo",2.15,pinnacle,-0.05371627906976745,-0.07389000000000007,False,False
74,"Cantlay, Patrick",15466,1.775,pinnacle,0.484,0.0424,"Spaun, J.J.",1.775,pinnacle,-0.07938028169014089,-0.09850000000000009,False,False
74,"Spaun, J.J.",17536,2.09,pinnacle,0.516,0.0424,"Cantlay, Patrick",2.09,pinnacle,0.03753110047846886,0.12083999999999995,True,False
75,"Rose, Justin",6093,2.04,pinnacle,0.5747,0.0418,"MacIntyre, Robert",2.04,pinnacle,0.08450392156862746,0.214188,True,True
75,"MacIntyre, Robert",23323,1.813,pinnacle,0.4253,0.0418,"Rose, Justin",1.813,pinnacle,-0.12627198014340868,-0.18713110000000005,False,False
76,"Kirk, Chris",12423,2.04,pinnacle,0.524,0.036,"Novak, Andrew",2.04,pinnacle,0.03380392156862749,0.10496,True,False
76,"Novak, Andrew",23475,1.806,pinnacle,0.476,0.036,"Kirk, Chris",1.806,pinnacle,-0.07770985603543745,-0.10434400000000005,False,False
