player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"Parry, John",13764,0.2247,0.2186573553016479,0.6493506493506493,0.65805,0.23295,4.2927666881305,0.219229150035694,4.561437198644359,0.2325968158230658,4.299284994342703,0.2188967685507601,4.568363464753977,0.314,0.234,-0.004,-0.061,-0.0438875132960898,-0.0443052044453729,0.0028068342676277,2.73381183210561,5.5,bet365,0.18181818181818182,0.03707858673257827,True,True
"Ford, David",31343,0.0825999999999999,0.0811449091245243,0.5714285714285714,0.60235,0.1865,5.361930294906166,0.1697978018162395,5.889357749649971,0.1860794161394161,5.374049536197871,0.169414883773309,5.902669102781322,-0.006,0.478,-0.169,-0.167,-0.1640406410587225,-0.0443052044453729,0.0858211672633262,2.85457240050565,7.5,betway,0.13333333333333333,0.03608155043997566,True,True
"Clanton, Luke",32330,-0.0193,-0.0440607012507618,0.4739336492890995,0.54775,0.15095,6.624710168930109,0.1194934803622303,8.368657411003666,0.1502923734598734,6.653697569471081,0.1189728968308736,8.40527571100125,0.031,0.085,-0.233,-0.343,-0.0909826489151809,-0.0443052044453729,-0.0672358806848753,2.93473499311736,11.0,williamhill,0.09090909090909091,0.02806380592178269,True,True
"Svensson, Adam",13997,0.0729,0.0856747786313443,0.5102040816326531,0.60745,0.1796,5.567928730512249,0.139387608352976,7.174238885480163,0.1804948268398268,5.540324991626554,0.1400820837042762,7.138671652765211,0.25,-0.142,0.121,-0.412,-0.0155070551573979,0.0799900446814907,0.0516299095650478,2.77773744347856,8.5,unibet,0.11764705882352941,0.02243502488074678,True,True
"Waring, Paul",12426,-0.1721,-0.1600753575069496,0.4,0.50135,0.1148,8.710801393728223,0.0868157937432937,11.518641446243148,0.1148783495670995,8.7048604351328,0.0868750444389138,11.510785478828147,-0.187,-0.057,-0.278,-0.272,-0.0519646280014304,-0.0650395366217914,0.102365410621415,2.96998870155649,15.0,bet365,0.06666666666666667,0.02020837777224714,True,True
"Saddier, Adrien",14792,0.0370999999999999,0.032972953305083,0.5847953216374269,0.5758,0.16915,5.911912503694945,0.163286389212639,6.124209156819276,0.1686244255744255,5.930338956491395,0.1627790339054291,6.143297303146406,-0.033,0.241,-0.04,-0.01,-0.0681930964067586,-0.0443052044453729,0.0245376158401376,2.85423975766772,7.0,williamhill,0.14285714285714285,0.01992189104828626,True,True
"Smith, Jordan",18586,0.33045,0.3314313203748932,0.6993006993006994,0.6919,0.28655,3.489792357354737,0.2846338243931995,3.513285893311744,0.2860225813075813,3.496227449694351,0.2841099325785786,3.5197643071610027,0.381,0.526,-0.066,-0.04,-0.118248126218365,-0.0443052044453729,0.0751069660949917,2.8226903721825,3.75,betway,0.26666666666666666,0.01744326591191192,True,True
"Li, Haotong",15310,0.20905,0.1931832529201877,0.6329113924050632,0.6425,0.2326,4.299226139294927,0.2163099961265585,4.622994858799409,0.2309744816294816,4.329482603208751,0.2147983199768144,4.655529894777303,0.249,0.364,-0.167,-0.022,-0.0839163442459485,-0.0323486708142442,-0.0292883955725262,2.85789612085562,5.0,bet365,0.2,0.014798319976814384,True,True
"Svensson, Jesper",26850,0.0580499999999999,0.0489396492246475,0.5434782608695652,0.57835,0.17735,5.63856780377784,0.1573307724913974,6.356035657644012,0.1768204981129981,5.655452906602178,0.1568610406565079,6.375069270321785,0.002,0.413,-0.088,-0.375,-0.1424362572215566,-0.0122688987717382,0.0287335994269507,2.94929866689211,7.0,unibet,0.14285714285714285,0.014003897799365062,True,True
"Eckroat, Austin",26653,0.16655,0.1694061036911409,0.5813953488372093,0.63135,0.2159,4.631773969430292,0.1815146407296405,5.509197472888503,0.2146721389721389,4.658266344147175,0.1804823352486858,5.5407084500657895,0.301,0.136,-0.256,-0.074,-0.0746595672520112,0.0068836325250719,0.049889393950442,2.79546717371207,6.0,betway,0.16666666666666666,0.01381566858201913,True,True
"Hodges, Lee",25157,0.1488,0.153980934034747,0.6024096385542169,0.6299,0.20425,4.895960832313341,0.1871803505291004,5.3424411118651705,0.2043796683871684,4.892854596992698,0.1872991822263476,5.339051607772203,0.219,0.171,-0.089,-0.055,-0.073777081994662,0.0221161007689235,0.057264185978835,2.79285651415149,5.75,unibet,0.17391304347826086,0.013386138748086723,True,True
"Campos, Rafael",12909,-0.4155,-0.4097608855174284,0.3076923076923077,0.4101,0.0666,15.015015015015011,0.0463953136909387,21.553901039692857,0.0665287096237096,15.03110470135465,0.0463456509376183,21.57699762046733,-0.55,-0.256,-0.319,-0.171,-0.010075642621388,0.0529347243172108,0.0204997126442494,2.98180946627076,29.0,unibet,0.034482758620689655,0.011862892316928643,True,True
"Lower, Justin",17723,-0.2598,-0.2704829783958219,0.4032258064516129,0.45715,0.08725,11.461318051575931,0.0695963437025937,14.368570916215132,0.088268371073371,11.329086374198214,0.0704086635104918,14.202797640818543,-0.369,-0.117,-0.079,-0.197,-0.0089105091945477,-0.0238846075390569,-0.0429884854970716,2.90585300260427,17.0,unibet,0.058823529411764705,0.011585134098727093,True,True
