player_name,dg_id,skill_pred,custom_pred,p_make_cut,top20_prob_model,top20_fair_odds_dec,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,p_make_cut_model,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag,ev_per_unit
"Bezuidenhout, Christiaan",18103,0.1937,0.2155840887153007,0.6944444444444444,0.20275,4.932182490752157,0.331,-0.225,0.301,0.378,0.0368095076292558,0.039676527431499,0.0810965579040008,2.6158352433501,0.6944444444444444,1.44,1.5,bet365,0.6666666666666666,0.02777777777777779,True,False,0.04166666666666663
"Thorbjornsen, Michael",26649,0.34545,0.3550555064724261,0.7246376811594204,0.27305,3.662332906061161,0.325,0.656,-0.029,0.056,0.0283840154267016,-0.0406818498939684,0.044005987122272,2.77144328131135,0.7246376811594204,1.38,1.4,skybet,0.7142857142857143,0.010351966873706098,True,False,0.01449275362318847
"Thompson, Davis",27364,0.33285,0.3392163516197306,0.7042253521126761,0.26275,3.805899143672693,0.39,0.475,0.105,-0.109,0.0238767106025371,0.0246426512871095,0.0137327399756071,2.7021985879076,0.7042253521126761,1.42,1.44,bet365,0.6944444444444444,0.009780907668231698,True,False,0.014084507042253558
"Olesen, Thorbjorn",13412,0.25165,0.253373625211514,0.6666666666666666,0.23695,4.22029964127453,0.322,0.239,0.055,0.093,0.0190353477358957,-0.0450174913815942,0.0103548250350209,2.66300737236682,0.6666666666666666,1.5,1.5,bet365,0.6666666666666666,0.0,False,False,-5.551115123125783e-17
"Rodgers, Patrick",16283,0.20375,0.2354861308635821,0.6666666666666666,0.22265,4.491354143274197,0.211,0.288,0.101,0.056,0.0174666454807107,0.0785209054574774,0.130317105213186,2.72052347261958,0.6666666666666666,1.5,1.5,bet365,0.6666666666666666,0.0,False,False,-5.551115123125783e-17
"Stevens, Sam",25569,0.23815,0.2622115287617291,0.7092198581560284,0.23575,4.241781548250265,0.176,0.449,0.202,0.089,0.0327832505186933,0.0192300236025952,0.0991085126486501,2.67690274278311,0.7092198581560284,1.41,1.4,bet365,0.7142857142857143,-0.005065856129685908,False,False,-0.007092198581560294
"Neergaard-Petersen, Rasmus",23841,0.36105,0.3530414305573521,0.6578947368421053,0.28455,3.514320857494289,0.501,0.42,-0.066,-0.129,0.0116841848873981,-0.0450174913815942,-0.0346305668115402,2.73450052336517,0.6578947368421053,1.5199999999999998,1.5,bet365,0.6666666666666666,-0.00877192982456132,False,False,-0.013157894736842035
"Li, Haotong",15310,0.31915,0.3318163321440615,0.6578947368421053,0.28165,3.550505947097461,0.43,0.403,-0.165,-0.016,0.0090009839181006,-0.0450174913815942,0.0700855416066556,2.76069123148888,0.6578947368421053,1.5199999999999998,1.5,bet365,0.6666666666666666,-0.00877192982456132,False,False,-0.013157894736842035
"McCarty, Matt",28635,0.2816,0.2979035964550487,0.7246376811594204,0.2518,3.971405877680698,0.292,0.322,0.062,0.343,0.0378006037837476,-0.0435084204880121,0.0734947855053729,2.68096021789824,0.7246376811594204,1.38,1.36,bet365,0.7352941176470588,-0.010656436487638365,False,False,-0.014492753623188193
"Hall, Harry",27194,0.1635,0.1459351079600511,0.7246376811594204,0.18465,5.415651232060655,0.138,-0.06,0.308,0.718,0.0482911247371251,0.0030107956087557,-0.112722721470496,2.63806189585213,0.7246376811594204,1.38,1.36,bet365,0.7352941176470588,-0.010656436487638365,False,False,-0.014492753623188193
