group_id,player_name,dg_id,odds,book,p_model,p_push,opponents,market_odds_best_dec,market_book_best,edge_prob,ev_per_unit,value_flag,bet_flag
2,"Larrazabal, Pablo",9133,3.3,bet365,0.2188,,"Naidoo, Dylan, Bryant, Davis",3.3,bet365,-0.08423030303030304,-0.2779600000000001,False,False
2,"Naidoo, Dylan",19429,3.25,bet365,0.2018,,"Larrazabal, Pablo, Bryant, Davis",3.25,bet365,-0.1058923076923077,-0.34415,False,False
2,"Bryant, Davis",32550,2.05,bet365,0.5794,,"Larrazabal, Pablo, Naidoo, Dylan",2.05,bet365,0.0915951219512195,0.18777,True,True
4,"Lagergren, Joakim",14780,2.75,bet365,0.2409666666666667,,"Kimsey, Nathan, Crocker, Sean",2.75,bet365,-0.12266969696969696,-0.33734166666666665,False,False
4,"Kimsey, Nathan",18027,2.4,bet365,0.4388666666666666,,"Lagergren, Joakim, Crocker, Sean",2.4,bet365,0.022199999999999942,0.05327999999999988,True,True
4,"Crocker, Sean",23610,3.25,bet365,0.3201666666666667,,"Lagergren, Joakim, Kimsey, Nathan",3.25,bet365,0.012474358974359001,0.04054166666666681,True,True
6,"Sharma, Shubhankar",17081,4.2,bet365,0.16666666666666669,,"Halvorsen, Andreas, Olesen, Jacob Skov",4.2,bet365,-0.0714285714285714,-0.2999999999999998,False,False
6,"Halvorsen, Andreas",17747,2.87,bet365,0.32556666666666667,,"Sharma, Shubhankar, Olesen, Jacob Skov",2.87,bet365,-0.022865389082462217,-0.06562366666666664,False,False
6,"Olesen, Jacob Skov",25611,2.0,bet365,0.5077666666666665,,"Sharma, Shubhankar, Halvorsen, Andreas",2.0,bet365,0.007766666666666477,0.015533333333332955,True,True
12,"Dantorp, Jens",14018,2.75,bet365,0.29766666666666663,,"Mansell, Richard, Mory, Felix",2.75,bet365,-0.06596969696969701,-0.18141666666666678,False,False
12,"Mansell, Richard",24185,2.75,bet365,0.33666666666666667,,"Dantorp, Jens, Mory, Felix",2.75,bet365,-0.026969696969696977,-0.07416666666666671,False,False
12,"Mory, Felix",25089,2.88,unibet,0.36566666666666664,,"Dantorp, Jens, Mansell, Richard",2.88,unibet,0.01844444444444443,0.053119999999999834,True,True
13,"Scrivener, Jason",12734,2.75,bet365,0.39509999999999995,,"Forrest, Grant, Syme, Connor",2.75,bet365,0.031463636363636305,0.08652499999999996,True,True
13,"Forrest, Grant",16475,2.2,bet365,0.36819999999999997,,"Scrivener, Jason, Syme, Connor",2.2,bet365,-0.08634545454545456,-0.18996000000000002,False,False
13,"Syme, Connor",22089,4.0,unibet,0.2367,,"Scrivener, Jason, Forrest, Grant",4.0,unibet,-0.013300000000000006,-0.053200000000000025,False,False
14,"Manassero, Matteo",11460,3.1,bet365,0.2975,,"Steinlechner, Maximilian, Chacarra, Eugenio",3.1,bet365,-0.025080645161290327,-0.07774999999999999,False,False
14,"Steinlechner, Maximilian",21677,3.3,bet365,0.1927,,"Manassero, Matteo, Chacarra, Eugenio",3.3,bet365,-0.11033030303030303,-0.36409,False,False
14,"Chacarra, Eugenio",26745,2.2,bet365,0.5098,,"Manassero, Matteo, Steinlechner, Maximilian",2.2,bet365,0.0552545454545455,0.12156000000000011,True,True
18,"Dean, Joe",16497,2.7,bet365,0.26183333333333336,,"Kinhult, Marcus, Ferguson, Ewen",2.7,bet365,-0.10853703703703699,-0.29304999999999987,False,False
18,"Kinhult, Marcus",18514,3.4,unibet,0.22053333333333336,,"Dean, Joe, Ferguson, Ewen",3.4,unibet,-0.07358431372549018,-0.25018666666666656,False,False
18,"Ferguson, Ewen",21646,2.38,unibet,0.5176333333333333,,"Dean, Joe, Kinhult, Marcus",2.38,unibet,0.09746526610644252,0.2319673333333332,True,True
19,"Zanotti, Fabrizio",9842,3.25,bet365,0.31649999999999995,,"Young, Daniel, Couvra, Martin",3.25,bet365,0.008807692307692239,0.0286249999999999,True,True
19,"Young, Daniel",19908,2.88,unibet,0.239,,"Zanotti, Fabrizio, Couvra, Martin",2.88,unibet,-0.10822222222222222,-0.31168000000000007,False,False
19,"Couvra, Martin",27811,2.37,bet365,0.4445,,"Zanotti, Fabrizio, Young, Daniel",2.37,bet365,0.022559071729957858,0.053465000000000096,True,True
20,"Otaegui, Adrian",14975,2.75,unibet,0.3295666666666667,,"Follet-Smith, Benjamin, Sullivan, Andy",2.75,unibet,-0.03406969696969697,-0.09369166666666662,False,False
20,"Follet-Smith, Benjamin",15211,4.5,unibet,0.18646666666666664,,"Otaegui, Adrian, Sullivan, Andy",4.5,unibet,-0.03575555555555557,-0.16090000000000004,False,False
20,"Sullivan, Andy",15326,2.1,bet365,0.4839666666666667,,"Otaegui, Adrian, Follet-Smith, Benjamin",2.1,bet365,0.007776190476190548,0.016330000000000067,True,True
22,"Norris, Shaun",7677,2.8,bet365,0.3151333333333333,,"Jamieson, Scott, Jordan, Matthew",2.8,bet365,-0.04200952380952383,-0.11762666666666677,False,False
22,"Jamieson, Scott",11397,3.75,unibet,0.19243333333333337,,"Norris, Shaun, Jordan, Matthew",3.75,unibet,-0.07423333333333329,-0.27837499999999993,False,False
22,"Jordan, Matthew",25601,2.25,bet365,0.4924333333333333,,"Norris, Shaun, Jamieson, Scott",2.25,bet365,0.04798888888888886,0.10797499999999993,True,True
